Seed	Temp	SE_cost	RM_cost	R_cost	RR_cost	SE	RM	R	N_states	Time
3566720992	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.119119
1910524464	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.1196
3493365680	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.115123
3301400484	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.114328
2967816655	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.120567
2011586044	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.115713
2035811082	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.117533
1916748314	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.114592
3784509278	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.119095
2905029361	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.115442
2576024719	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.108578
2371572080	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.132267
1871147989	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.115614
3713041868	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.124891
3471024676	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.118186
1966884312	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.126965
3044574162	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.122516
2258017906	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.12758
3176164114	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.149147
2280811294	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.133139
3746733265	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.127827
2106510172	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.11503
2359829562	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.111991
2550864510	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.117004
2797441101	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.124678
2180509795	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.119207
3361098134	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.119058
2830375349	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.111702
3244605026	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.111034
2028203867	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.113421
3223273225	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.112929
3354247487	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.118513
2895343245	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.12768
3096017923	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.113036
2918026905	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.111081
3557697869	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.115557
3707063605	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.11518
1789547580	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.114961
1832963027	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.121817
2957675505	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.11357
3176173265	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.113401
2477164993	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.118646
3108912503	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.114509
2168085116	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.113908
2436477221	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.114321
2486999642	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.114208
2860198147	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.115379
2802132876	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.121475
3503422130	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.127737
2870485750	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.131022
2738250749	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.120503
2757094136	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.118039
1899692229	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.129443
3230115373	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.12199
2022389927	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.124678
2331114535	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.120419
2207420517	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.118814
2564248840	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.113692
3347322277	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.113799
3395726994	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.111287
2818339626	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.110566
3351063218	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.110518
2582968719	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.111304
3066196782	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.134956
1815327066	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.133614
3556152899	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.128264
2597141718	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.120858
2120346791	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.118289
1985969318	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.11846
2776944572	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.126719
2259953339	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.126037
3517320795	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.124379
2699522171	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.1263
3379068931	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.118373
3363210092	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.119892
2796548016	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.125004
3814380397	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.121004
3427187653	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.123272
3479700458	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.11876
3329559242	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.118066
2931416467	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.11355
2077291086	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.120013
2658691001	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.112163
2434955889	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.120522
2066749535	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.115186
3070727838	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.12931
1903753630	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.129243
3248436046	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.115911
2966169756	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.118695
3027000048	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.131332
2714835299	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.122663
1827569669	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.127031
2048443347	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.120274
2606949897	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.119188
2903818700	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.12396
1723539340	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.119154
3308940467	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.127008
3545276898	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.117321
2503727832	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.112921
3066039227	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.156249
3693256652	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.138749
2127779257	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.108876
1851489505	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.110996
2864981343	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.123525
3817923679	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.113936
2166086822	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.118843
2666674407	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.114728
2380026831	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.114275
2535243185	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.119915
2426798112	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.12023
1777095019	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.123006
1731044630	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.132379
1988590423	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.127263
1976651373	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.145637
1943119462	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.166311
2484766839	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.136653
3582996813	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.150653
2260862295	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.140128
2511348416	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.133387
2529389950	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.12496
2702451652	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.109898
2628080975	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.113146
2471778866	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.109972
3493448813	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.113677
2066952394	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.117387
3571349614	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.11581
2687647412	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.109844
2973679776	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.110359
3132408741	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.111056
2254817662	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.110818
2027825762	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.114355
3050782384	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.10894
2284129756	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.111789
1910966748	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.110619
3072617475	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.117819
3325734703	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.130564
2020515532	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.132376
2630871011	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.116161
3693477903	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.111081
3179238300	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.112356
1861764283	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.11385
2921744465	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.114166
2459747403	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.115439
2104177965	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.113686
2968438803	50.0	-1.0	-1.0	1.0	2.0	0.0	0.0	5.0	57	0.111363
